ContactId;GenderCode;DoNotEMail;registration_date;sendsms;source;allownotification;balance;credit;debet;discount_summ;quantity;summ;average_cheque;last_transaction_date;churn_bool;has_last_week_transaction;has_last_month_transaction;has_last_halfyear_transaction;churn_prob
1;NULL;0;NULL;1;4;0;0;94002.31;94002.31;0;3;58444.33;19481.44;15.06.2020 11:43;0;0;0;0;0
2;1;0;2019-10-14 00:00:00.000;1;4;1;52878.84;204580.25;257459.09;0;106;382508.26;3608.57;11.06.2021 9:56;0;1;1;1;0
4;NULL;1;11.11.2019 19:52;1;2;1;1461.19;485648;487109.19;0;176;224307.11;1274.47;09.06.2021 18:45;0;1;1;1;0
5;NULL;1;2019-11-11 20:06:40.000;1;2;1;2901.98;8016.86;10918.84;0;10;10966.77;1096.68;29.04.2021 18:29;0;0;0;1;0
6;NULL;1;11.11.2019 21:04;1;2;1;2890.1;146488;149378.1;0;56;70281.37;1255.02;04.06.2021 13:46;0;1;1;1;0
7;1;1;11.11.2019 21:13;1;2;1;20820.74;202146;222966.74;0;102;151730.06;1487.55;14.06.2021 12:37;0;1;1;1;0
8;NULL;1;11.11.2019 21:16;1;2;1;1599.17;3539;5138.17;0;6;5144.2;857.37;27.04.2021 14:23;0;0;0;1;0
9;NULL;1;11.11.2019 21:26;1;2;1;1000.67;260545;261545.67;0;127;156115.52;1229.26;11.06.2021 19:21;0;1;1;1;0
10;1;1;11.11.2019 21:26;0;2;1;53826.81;250689;304515.81;0;20;106686.47;5334.32;18.12.2020 18:40;0;0;0;0;0
11;NULL;1;2019-11-11 21:37:21.083;1;2;1;45871.46;248788;294659.46;0;20;131281.54;6564.08;22.12.2020 18:16;0;0;0;0;0
12;NULL;1;11.11.2019 22:21;0;2;1;3323.32;29016;32339.32;0;32;27606.87;862.71;10.06.2021 11:43;0;1;1;1;0
13;NULL;1;11.11.2019 22:41;1;2;1;11641.24;326738.22;338379.46;0;102;162701.05;1595.11;14.06.2021 11:46;0;1;1;1;0
14;NULL;1;2019-11-11 23:11:17.083;1;2;1;1565.91;42793.51;44359.42;0;9;22822.58;2535.84;06.03.2021 14:37;0;0;0;1;0
15;NULL;1;12.11.2019 2:14;0;2;1;3634.6;60666;64300.6;0;75;53112.28;708.16;10.06.2021 18:31;0;1;1;1;0
16;1;1;12.11.2019 5:38;1;2;1;4005.52;504217;508222.52;0;82;227582.43;2775.4;03.06.2021 12:16;0;1;1;1;0
17;1;1;12.11.2019 6:29;0;2;1;1319.21;362658;363977.21;0;329;232656.96;707.16;02.06.2021 18:21;0;1;1;1;0
18;NULL;1;12.11.2019 8:41;1;2;1;1108.19;3332.31;4440.5;0;4;4440.5;1110.13;29.05.2021 17:15;0;0;1;1;0
19;NULL;1;12.11.2019 9:21;1;2;1;6116.27;77751;83867.27;0;97;51593.76;531.89;10.06.2021 8:40;0;1;1;1;0
20;NULL;1;12.11.2019 9:30;1;2;1;1663.05;192118;193781.05;0;145;152961.76;1054.91;07.06.2021 11:51;0;1;1;1;0
21;NULL;1;12.11.2019 9:35;1;2;1;798.84;279309;280107.84;0;71;160488.59;2260.4;05.06.2021 8:23;0;1;1;1;0
22;NULL;1;12.11.2019 9:39;1;2;1;8829.72;683084;691913.72;0;463;803429.04;1735.27;13.06.2021 14:52;0;1;1;1;0
23;NULL;1;12.11.2019 9:45;1;2;1;3718.66;200696;204414.66;0;107;147588.43;1379.33;08.06.2021 19:27;0;1;1;1;0
24;NULL;1;12.11.2019 9:50;1;2;1;670.86;73731;74401.86;0;36;73294.18;2035.95;25.04.2021 15:58;0;0;0;1;0
25;NULL;1;12.11.2019 10:02;1;2;1;949.01;67789;68738.01;0;58;69166.68;1192.53;30.05.2021 11:42;0;0;1;1;0
