ContactId;GenderCode;DoNotEMail;registration_date;sendsms;source;allownotification;balance;credit;debet;discount_summ;quantity;summ;average_cheque;last_transaction_date;churn_bool;has_last_week_transaction;has_last_month_transaction;has_last_halfyear_transaction;churn_prob
1;NULL;0;NULL;1;4;0;0;94 002,31;94 002,31;0;3;58 444,33;19 481,44;15.06.2020 11:43;0;0;0;0;0
2;1;0;2019-10-14 00:00:00.000;1;4;1;52 878,84;204 580,25;257 459,09;0;106;382 508,26;3 608,57;11.06.2021 9:56;0;1;1;1;0
4;NULL;1;11.11.2019 19:52;1;2;1;1 461,19;485 648,00;487 109,19;0;176;224 307,11;1 274,47;09.06.2021 18:45;0;1;1;1;0
5;NULL;1;2019-11-11 20:06:40.000;1;2;1;2 901,98;8 016,86;10 918,84;0;10;10 966,77;1 096,68;29.04.2021 18:29;0;0;0;1;0
6;NULL;1;11.11.2019 21:04;1;2;1;2 890,10;146 488,00;149 378,10;0;56;70 281,37;1 255,02;04.06.2021 13:46;0;1;1;1;0
7;1;1;11.11.2019 21:13;1;2;1;20 820,74;202 146,00;222 966,74;0;102;151 730,06;1 487,55;14.06.2021 12:37;0;1;1;1;0
8;NULL;1;11.11.2019 21:16;1;2;1;1 599,17;3 539,00;5 138,17;0;6;5 144,20;857,37;27.04.2021 14:23;0;0;0;1;0
9;NULL;1;11.11.2019 21:26;1;2;1;1 000,67;260 545,00;261 545,67;0;127;156 115,52;1 229,26;11.06.2021 19:21;0;1;1;1;0
10;1;1;11.11.2019 21:26;0;2;1;53 826,81;250 689,00;304 515,81;0;20;106 686,47;5 334,32;18.12.2020 18:40;0;0;0;0;0
11;NULL;1;2019-11-11 21:37:21.083;1;2;1;45 871,46;248 788,00;294 659,46;0;20;131 281,54;6 564,08;22.12.2020 18:16;0;0;0;0;0
12;NULL;1;11.11.2019 22:21;0;2;1;3 323,32;29 016,00;32 339,32;0;32;27 606,87;862,71;10.06.2021 11:43;0;1;1;1;0
13;NULL;1;11.11.2019 22:41;1;2;1;11 641,24;326 738,22;338 379,46;0;102;162 701,05;1 595,11;14.06.2021 11:46;0;1;1;1;0
14;NULL;1;2019-11-11 23:11:17.083;1;2;1;1 565,91;42 793,51;44 359,42;0;9;22 822,58;2 535,84;06.03.2021 14:37;0;0;0;1;0
15;NULL;1;12.11.2019 2:14;0;2;1;3 634,60;60 666,00;64 300,60;0;75;53 112,28;708,16;10.06.2021 18:31;0;1;1;1;0
16;1;1;12.11.2019 5:38;1;2;1;4 005,52;504 217,00;508 222,52;0;82;227 582,43;2 775,40;03.06.2021 12:16;0;1;1;1;0
17;1;1;12.11.2019 6:29;0;2;1;1 319,21;362 658,00;363 977,21;0;329;232 656,96;707,16;02.06.2021 18:21;0;1;1;1;0
18;NULL;1;12.11.2019 8:41;1;2;1;1 108,19;3 332,31;4 440,50;0;4;4 440,50;1 110,13;29.05.2021 17:15;0;0;1;1;0
19;NULL;1;12.11.2019 9:21;1;2;1;6 116,27;77 751,00;83 867,27;0;97;51 593,76;531,89;10.06.2021 8:40;0;1;1;1;0
20;NULL;1;12.11.2019 9:30;1;2;1;1 663,05;192 118,00;193 781,05;0;145;152 961,76;1 054,91;07.06.2021 11:51;0;1;1;1;0
21;NULL;1;12.11.2019 9:35;1;2;1;798,84;279 309,00;280 107,84;0;71;160 488,59;2 260,40;05.06.2021 8:23;0;1;1;1;0
22;NULL;1;12.11.2019 9:39;1;2;1;8 829,72;683 084,00;691 913,72;0;463;803 429,04;1 735,27;13.06.2021 14:52;0;1;1;1;0
23;NULL;1;12.11.2019 9:45;1;2;1;3 718,66;200 696,00;204 414,66;0;107;147 588,43;1 379,33;08.06.2021 19:27;0;1;1;1;0
